ID	Product	Protocol	Fingerprint	F. Type	Shodan	Censys	Fingerprint Type	Fingerprint proposed by	Support	Status	BITSIGHT COMMENTS	Implemented on	Provided by Schneider	Remarks (Schneider)	Groma Implemented Date	Groma JIRA Ticket	Groma CPE	CPE Review (SE)
1	ION 7650	HTTP/HTTPS	Basic realm="7650 ION"		Y		IT	Schneider Electric	Supported	Not Implemented	Supported in Groma		9/13/2024			RP-220849: Basic realm fingerprint for 7650 ION
2	ION 7650	HTTP/HTTPS	http.html_hash:672627340	HTML Hash	Y		IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024			RP-220849: Basic realm fingerprint for 7650 ION
3	ION 7650	HTTP/HTTPS	title:"PowerLogic ION 7650"	HTML Title	Y		IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024			RP-220849: Basic realm fingerprint for 7650 ION
4	ION 7650	HTTP/HTTPS	services.http.response.html_title: "PowerLogic ION 7650"	HTML Title		Y	IT	Schneider Electric	Supported	Duplicate	Duplicates ID 3		9/13/2024			RP-220849: Basic realm fingerprint for 7650 ION
5	ION 7650	SNMP	Description: Schneider Electric - ION7650		Y		IT	Schneider Electric	Supported	Implemented		7/3/2024	9/13/2024			RP-220849: Basic realm fingerprint for 7650 ION
6	ION 7650	SNMP	services.snmp.oid_system.desc="Schneider Electric - ION7650"			Y	IT	Schneider Electric	Supported	Duplicate	Duplicates ID 5		9/13/2024			RP-220849: Basic realm fingerprint for 7650 ION
7	ION 7650	General	services.software.uniform_resource_identifier: `cpe:2.3:h:schneider-electric:powerlogic_ion_7650:*:*:*:*:*:*:*:*`			Y	IT	Schneider Electric	Unsupported	Won't do	Censys product fingerprint		9/13/2024			RP-220849: Basic realm fingerprint for 7650 ION
8	ION 7650	General	services.software.product=`PowerLogic ION 7650`			Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024			RP-220849: Basic realm fingerprint for 7650 ION
9	PowerLogic P5	SSH	"PowerLogic" port:22		Y		IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024
10	PowerLogic PM800	General	"PowerLogic"		Y		IT	Schneider Electric	Unsupported	Review	Too generic. Needs review from Schneider Electric team.		9/13/2024
11	Power Monitoring Expert	HTTP/HTTPS	http.favicon.hash:1317073961	Favicon	Y		IT	Schneider Electric	Supported	Implemented		5/9/2024	9/13/2024			RP-220915: Adding fingerprints for Power Monitoring Expert
12	SE products	HTTP/HTTPS	http.favicon.hash:487597720	Favicon	Y		IT	Schneider Electric	Supported	Implemented		5/31/2023	12/12/2022	Type of SE products to be identified
13	Power Monitoring Expert	HTTP/HTTPS	http.title:"Power Monitoring Expert"	HTML Title	Y		IT	Schneider Electric	Supported	Implemented		5/9/2024	5/1/2024		9/25/2024	https://bitsight.atlassian.net/browse/RP-195006	cpe:/a:schneider-electric:ecostruxure_power_monitoring_expert:-
14	EcoStruxure EV Charging Expert	HTTP/HTTPS	http.title:"EcoStruxure"	HTML Title	Y		IT	Schneider Electric	Supported	Implemented		5/8/2024	9/13/2024
15	EcoStruxure Plant Plug-In - Cloud-to-Edge	HTTP/HTTPS	http.title:"EcoStruxure"	HTML Title	Y		IT	Schneider Electric	Supported	Implemented		5/8/2024	9/13/2024
16	EcoStruxure Manufacturing Compliance Advisor	HTTP/HTTPS	http.title:"EcoStruxure"	HTML Title	Y		IT	Schneider Electric	Supported	Implemented		5/8/2024	9/13/2024
17	EcoStruxure IT Custom Solutions	HTTP/HTTPS	http.title:"EcoStruxure"	HTML Title	Y		IT	Schneider Electric	Supported	Implemented		5/8/2024	9/13/2024
18	EcoStruxure™ Building Advisor Connect	HTTP/HTTPS	http.title:"EcoStruxure"	HTML Title	Y		IT	Schneider Electric	Supported	Implemented		5/8/2024	9/13/2024
19	EcoStruxure Manufacturing Compliance Advisor	HTTP/HTTPS	http.favicon.hash:-1620132891	Favicon	Y		IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024
20	EcoStruxure™ Building Advisor Connect	HTTP/HTTPS	http.favicon.hash:2071213254	Favicon	Y		IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024
21	PM5560	General	PM5560	Prod. Reference			IT	Schneider Electric	Unsupported	Review	Too generic. Needs review from Schneider Electric team.		9/13/2024			RP-220914: Adding fingerprints for PM5560
22	PM5560	HTTP/HTTPS	http.title:PM5560		Y		IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024			RP-220914: Adding fingerprints for PM5560
23	PM5560	Modbus	Device Identification: Schneider Electric PM5560		Y		OT	Schneider Electric	Supported	Implemented		8/16/2023	9/13/2024			RP-220914: Adding fingerprints for PM5560
24	PM5560	EIP	product:"PM5560"		Y		OT	Schneider Electric	Supported	Implemented		10/10/2024	9/13/2024			RP-220914: Adding fingerprints for PM5560
25	PM5560	BacNet	Object Name: PM5560		Y		OT	Schneider Electric	Supported	Implemented		10/10/2024	9/13/2024			RP-220914: Adding fingerprints for PM5560
26	PM5560	EIP	services.banner_hex:*504D35353630*			Y	OT	Schneider Electric	Unsupported	Won't do	Prone to FPs, other type of fingerprint will produce better results.		9/13/2024			RP-220914: Adding fingerprints for PM5560
27	PM5560	BacNet	Object Name: PM5560			Y	OT	Schneider Electric	Supported	Duplicate	Duplicates ID 25		9/13/2024			RP-220914: Adding fingerprints for PM5560
28	Galaxy VS	HTTP/HTTPS	title:"UPS Network Management Card 4"		Y		IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024			RP-220916: Adding fingerprints for Galaxy VS
29	Galaxy VS	HTTP/HTTPS	services.http.response.html_title: "UPS Network Management Card 4"			Y	IT	Schneider Electric	Supported	Duplicate	Duplicates ID 28		9/13/2024			RP-220916: Adding fingerprints for Galaxy VS
30	Link150	SNMP	Name: LINK150		Y	Y	IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024			RP-220917: Adding fingerprints for Link150
31	Link150	Modbus	Device Identification: EGX150		Y	Y	OT	Schneider Electric	Supported	Implemented		7/7/2023	9/13/2024			RP-220917: Adding fingerprints for Link150
32	PowerLogic ION 8650 	HTTP/HTTPS	hash:-1746176263	Login Page Hash	Y		IT	Schneider Electric	Supported	Implemented		10/9/2024	9/13/2024			RP-220926: Adding fingerprints for PowerLogic ION 8650
33	PowerLogic ION 8650 	HTTP/HTTPS	http.html:"<title>PowerLogic ION 8650</title>"	Title	Y		IT	Schneider Electric	Supported	Implemented		6/27/2024	9/13/2024			RP-220926: Adding fingerprints for PowerLogic ION 8650
34	PowerLogic ION 8650 	HTTP/HTTPS	services.http.response.headers: (key: "WWW-Authenticate" and value.headers: "Basic realm=8650 ION")			Y	IT	Schneider Electric	Unsupported	Not Implemented	Possible Smartfingerprint implementation		9/13/2024			RP-220926: Adding fingerprints for PowerLogic ION 8650
